,positions,close,direction,order_value,avg_price,returns,returns_pct,cumulative_returns,cumulative_returns_pct
63,10,114188.37,0.0,0.0,113605.31,-0.0051323305222263915,-0.5132330522226392,0.009681422426906394,0.9681422426906394
64,10,114371.73,0.0,0.0,113605.31,-0.006746339585711247,-0.6746339585711247,0.002935082841195147,0.2935082841195147
65,10,114427.23,0.0,0.0,113605.31,-0.007234873088238558,-0.7234873088238558,-0.004299790247043411,-0.42997902470434113
66,10,114234.92,0.0,0.0,113605.31,-0.005542082495967771,-0.5542082495967771,-0.009841872743011182,-0.9841872743011182
67,10,114528.6,0.0,0.0,113605.31,-0.008127172928800608,-0.8127172928800608,-0.01796904567181179,-1.796904567181179
68,10,114545.49,0.0,0.0,113605.31,-0.008275845556867,-0.8275845556867001,-0.02624489122867879,-2.624489122867879
69,10,114595.71,0.0,0.0,113605.31,-0.008717902358613472,-0.8717902358613472,-0.03496279358729226,-3.4962793587292262
70,10,114553.67,0.0,0.0,113605.31,-0.008347849233455662,-0.8347849233455662,-0.043310642820747924,-4.331064282074792
71,10,114357.73,0.0,0.0,113605.31,-0.006623105909397964,-0.6623105909397964,-0.04993374873014589,-4.993374873014589
72,10,114190.46,0.0,0.0,113605.31,-0.005150727549618983,-0.5150727549618983,-0.05508447627976487,-5.508447627976487
73,10,114449.55,0.0,0.0,113605.31,-0.007431342777903582,-0.7431342777903582,-0.06251581905766845,-6.251581905766845
74,0,115070.49,-1.0,1150704.9000000001,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
75,0,115522.9,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
76,0,115923.99,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
77,0,115068.17,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
78,0,115028.74,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
79,0,114641.38,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
80,0,115076.48,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
81,0,115341.59,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
82,0,115465.56,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
83,0,115290.0,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
84,0,114901.03,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
85,0,115022.8,0.0,0.0,0.0,0.0,0.0,-0.06251581905766845,-6.251581905766845
86,10,113717.01,1.0,1137170.0999999999,113717.01,0.0,0.0,-0.06251581905766845,-6.251581905766845
87,10,113689.99,0.0,0.0,113717.01,0.00023760737289868494,0.023760737289868494,-0.06227821168476977,-6.227821168476977
88,20,112538.83,1.0,1125388.3,113127.92,0.005207291002963688,0.5207291002963688,-0.05707092068180608,-5.707092068180608
89,20,112808.05,0.0,0.0,113127.92,0.0028275071264458607,0.28275071264458607,-0.05424341355536022,-5.424341355536022
90,20,112734.8,0.0,0.0,113127.92,0.0034750042253052227,0.34750042253052227,-0.050768409330055,-5.076840933005499
91,20,112994.4,0.0,0.0,113127.92,0.001180256827845949,0.11802568278459491,-0.04958815250220905,-4.958815250220905
92,20,113142.51,0.0,0.0,113127.92,-0.00012896904672166087,-0.012896904672166087,-0.04971712154893071,-4.971712154893071
93,20,113224.08,0.0,0.0,113127.92,-0.0008500112085505496,-0.08500112085505496,-0.05056713275748126,-5.056713275748126
94,20,112897.82,0.0,0.0,113127.92,0.002033980647748068,0.20339806477480682,-0.04853315210973319,-4.853315210973319
95,20,112898.45,0.0,0.0,113127.92,0.0020284117307204363,0.20284117307204363,-0.046504740379012754,-4.650474037901276
96,20,112696.08,0.0,0.0,113127.92,0.003817271633739905,0.3817271633739905,-0.04268746874527285,-4.2687468745272845
97,20,112442.88,0.0,0.0,113127.92,0.006055445905838175,0.6055445905838175,-0.036632022839434675,-3.6632022839434675
